N°_département_(BAN),Date_réception_DPE,Date_établissement_DPE,Date_visite_diagnostiqueur,Etiquette_GES,Etiquette_DPE,Année_construction,Surface_habitable_logement,Adresse_(BAN),Code_postal_(BAN)
72,2022-05-22,2022-05-22,2022-05-21,A,A,2006,194.8,4 Rue des Nefliers 72400 La Ferté-Bernard,72400
72,2022-05-11,2022-05-09,2022-05-09,A,A,2020,58.6,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2022-06-29,2022-06-28,2022-06-28,A,A,2020,78.4,Rue du Major Christophe Fournier 72170 Beaumont-sur-Sarthe,72170
72,2022-06-29,2022-06-28,2022-06-27,A,A,2020,92.1,Rue du Major Christophe Fournier 72170 Beaumont-sur-Sarthe,72170
72,2023-04-20,2023-04-20,2023-04-11,A,A,1945,192.7,Lieu Dit la Grande Corbiniere 72300 Souvigné-sur-Sarthe,72300
72,2022-05-20,2022-05-20,2022-05-20,A,A,2019,69.4,Route de Bois Martin 72560 Changé,72560
72,2021-11-12,2021-11-12,2021-11-12,A,A,2017,78.5,3 Rue des Cormiers 72300 Précigné,72300
72,2022-06-15,2022-06-15,2022-06-15,A,A,2021,140.5,Rue Jean Racine 72650 Trangé,72650
72,2022-09-30,2022-09-30,2022-09-30,A,A,1949,179,Les Brosses 72270 Ligron,72270
72,2022-12-19,2022-12-19,2022-12-19,A,A,2022,170.1,12 Rue des Sorbiers 72380 Saint-Jean-d'Assé,72380
72,2021-11-09,2021-11-09,2021-11-09,A,A,2016,111,5 Allée Gobron Brillé 72470 Saint-Mars-la-Brière,72470
72,2021-11-10,2021-11-10,2021-11-10,A,A,2017,107.3,17 Allée de l’Orne Champenoise 72550 Fay,72550
72,2022-04-29,2022-04-29,2022-04-29,A,A,2013,62,4 Rue des Cygnes 72000 Le Mans,72000
72,2022-11-24,2022-11-24,2022-11-23,A,A,,200,6 route de Richemont 72190 Coulaines,72190
72,2021-10-26,2021-10-26,2021-10-22,A,A,2013,135.7,30 Chemin Haut des Rottes 72200 La Flèche,72200
72,2021-11-30,2021-11-30,2021-11-29,A,A,1947,84.2,66 Rue Henry Roquet 72220 Laigné-en-Belin,72220
72,2023-03-06,2023-03-06,2023-03-06,A,A,2016,120,24 Rue des Vergers 72200 La Flèche,72200
72,2023-03-10,2023-03-10,2023-03-10,A,A,,159.6,41 Rue Principale 72460 Sillé-le-Philippe,72460
72,2023-03-09,2023-03-09,2023-03-08,A,A,2015,132.7,1 Route de Conlie 72240 La Chapelle-Saint-Fray,72240
72,2022-07-06,2022-07-06,2022-07-06,A,A,2011,251.3,875 Chemin de l’Ouche aux Ânes 72700 Rouillon,72700
72,2022-11-22,2022-11-22,2022-11-22,A,A,2019,143.3,Chemin de la Baudrière 72200 Bazouges Cré sur Loir,72200
72,2023-08-31,2023-08-31,2023-08-31,A,A,,138.9,1 rue du port 72210 Chemiré-le-Gaudin,72210
72,2022-10-13,2022-10-13,2022-10-13,A,A,,190.6,Route de Fromenteau 72220 Saint-Gervais-en-Belin,72220
72,2022-05-10,2022-05-10,2022-05-10,A,A,2012,93.5,6 Allée de la Belle Etoile 72650 Aigné,72650
72,2023-04-24,2023-04-24,2023-04-24,A,A,,204.5,9bis Rue du Jardin Public 72170 Meurcé,72170
72,2022-07-28,2022-07-28,2022-07-28,A,A,2014,120.5,3 Allée de l'Etoile des Champs 72200 La Flèche,72200
72,2022-09-07,2022-09-07,2022-09-07,A,A,,88,4 Rue des Maréchaux 72190 Sargé-lès-le-Mans,72190
72,2023-09-08,2023-09-08,2023-09-08,A,A,,307.5,Avenue de la Pécardière 72450 Montfort-le-Gesnois,72450
72,2022-05-12,2022-05-12,2022-05-11,A,A,2019,158.6,3bis Rue de Bellevue 72380 Sainte-Jamme-sur-Sarthe,72380
72,2023-04-05,2023-04-05,2023-04-04,A,A,2022,110,18 Rue des Tanneries 72800 Aubigné-Racan,72800
72,2023-09-13,2023-09-13,2023-09-13,A,A,2023,117,49 Impasse de la Bousselière 72610 Saint-Paterne - Le Chevain,72610
72,2023-05-02,2023-05-02,2023-05-02,A,A,2011,155,5 Allée de la Chesnaie 72300 Auvers-le-Hamon,72300
72,2021-09-17,2021-09-17,2021-09-17,A,A,2013,168.2,5 Allee des Hauts de Saint Germain 72200 La Flèche,72200
72,2022-10-13,2022-10-13,2022-10-13,A,A,2022,94,4 rue Elsa Triolet 72000 Le Mans,72000
72,2023-04-19,2023-04-19,2023-04-19,A,A,2022,132.7,1b Rue de la Gare 72650 La Bazoge,72650
72,2023-02-22,2023-02-22,2023-02-22,A,A,2018,176.2,3 allée des Pompes 72000 Le Mans,72000
72,2021-12-20,2021-12-20,2021-12-17,A,A,2013,152.9,18bis Rue du Grand Ozé 72610 Saint-Paterne - Le Chevain,72610
72,2021-08-16,2021-08-16,2021-08-13,A,A,1947,65.8,7 Rue Molière 72120 Sainte-Cérotte,72120
72,2022-11-26,2022-11-23,2022-11-23,A,A,2019,204.5,16ter Route de la Californie 72560 Changé,72560
